,Symbol,Year,Quarter,Assets,Debt,Equity,Liabilities,Provisions
236,BVH,2009,1,28114653581831.0,423954000000.0,7893035286750.0,18946609050313.0,15193362671203.0
237,BVH,2009,2,29412553932225.0,150000000.0,8091837902657.0,20005085087650.0,15890542741881.0
238,BVH,2009,3,30697369441424.0,85173118724.0,8315246995269.0,21012394795215.0,16238318732816.0
239,BVH,2009,4,33714616663671.0,420948732663.0,8538814868317.0,23777028786063.0,16482940038120.0
240,BVH,2010,1,35954751839049.0,275415935242.0,10652289240409.0,23903427466693.0,16934903330260.0
241,BVH,2010,2,38977226007161.0,1034043041290.0,10302429506469.0,27260770040898.0,16950749447805.0
242,BVH,2010,3,42604783076411.0,2095395167805.0,10524257835935.0,30700006342466.0,17185186858676.0
243,BVH,2010,4,44767937163527.0,1593235333373.0,10667776713657.0,32683517379004.0,17638989877662.0
244,BVH,2011,1,42917938457853.0,1548616915182.0,11583710936435.0,29950603028092.0,18222374736057.0
245,BVH,2011,2,43329976794364.0,823007695.0,11605564579743.0,30337822030024.0,18265554867168.0
246,BVH,2011,3,45264057243889.0,382598381123.0,11229788167290.0,32624889453141.0,18431102002381.0
247,BVH,2011,4,43759872863982.0,862076552375.0,11697155265497.0,30700024376182.0,18476301815891.0
248,BVH,2012,1,42254080090332.0,0.0,12082426875414.0,28780370348936.0,18573287004374.0
249,BVH,2012,2,47135473443154.0,0.0,11498221671618.0,34255532246728.0,18784424238975.0
250,BVH,2012,3,45535345435860.0,0.0,11770043689217.0,32387999460591.0,19008222884581.0
251,BVH,2012,4,46116912835650.0,939144342907.0,12047659144044.0,31957090079508.0,19718457492858.0
252,BVH,2013,1,47851424899016.0,671697600000.0,12394370525030.0,33324029613686.0,20303672987533.0
253,BVH,2013,2,48803167908044.0,1544080800000.0,12522943639899.0,34172200278924.0,20560228132002.0
254,BVH,2013,3,51632619720099.0,550000000000.0,11835131000702.0,37623122332626.0,21137612502167.0
255,BVH,2013,4,55793512680256.0,265151573583.0,12119524525298.0,41482964415781.0,22667777651179.0
256,BVH,2014,1,60780834508588.0,96630349909.0,12527577625823.0,46059871989622.0,23808165899461.0
257,BVH,2014,2,63830804733113.0,198812507495.0,11658385113086.0,50021861915245.0,24778622802827.0
258,BVH,2014,3,48419673971453.0,15214431740.0,11973586494564.0,35810475711291.0,26066536384846.0
259,BVH,2014,4,47529182350052.0,3517524546.0,12254373102433.0,34578334752285.0,27169422541162.0
260,BVH,2015,1,49534425269979.0,3045340402.0,12564188827090.0,36266374330946.0,28564034478196.0
261,BVH,2015,2,50791919749831.0,3662234957.0,12160792637124.0,37902783547511.0,29615349362063.0
262,BVH,2015,3,53533833227452.0,31877229971.0,12378209148642.0,40416694776382.0,31270176427411.0
263,BVH,2015,4,58596328906596.0,31161309647.0,12578703106185.0,45302819421025.0,32922287039810.0
264,BVH,2016,1,62677304359116.0,27031102221.0,12911217377479.0,49004457690122.0,34680735311484.0
265,BVH,2016,2,64365559733304.0,68519118448.0,12678270179737.0,50896661382185.0,36504325492682.0
266,BVH,2016,3,67391356031344.0,2577430000.0,12959971027413.0,53666782787626.0,38887256340270.0
267,BVH,2016,4,73078644664315.0,164346598470.0,13256804448760.0,59062447457906.0,41089858145117.0
268,BVH,2017,1,75107585744712.0,99431677521.0,13400111911481.0,60856841708384.0,43670559325260.0
269,BVH,2017,2,82903251795364.0,5749293964.0,13973501213222.0,68141907533195.0,45862436775271.0
270,BVH,2017,3,85783172177495.0,41644726476.0,13449500480821.0,71559662263488.0,49115269794026.0
271,BVH,2017,4,91368135663040.0,94772307453.0,13769969700802.0,76781465506380.0,53121232354073.0
272,BVH,2018,1,99329565769244.0,5305672947.0,14193728796532.0,84323860814941.0,57246260039941.0
273,BVH,2018,2,100581927512272.0,304824024860.0,15218502948994.0,84496861966420.0,61851696324754.0
274,BVH,2018,3,100983739224191.0,468068024860.0,14576948033114.0,85541541085140.0,65742417224579.0
275,BVH,2018,4,113768691848977.0,580048744220.0,14739921679848.0,98215338405677.0,68709539600572.0
276,BVH,2019,1,116561024614534.0,699183802460.0,15206729381848.0,100609867632973.0,72659500922355.0
277,BVH,2019,2,120933424001333.0,780065076964.0,15343879077861.0,104772977564436.0,76599236752863.0
278,BVH,2019,3,121829354393551.0,726879501978.0,15665709035247.0,105297386561064.0,79627186153071.0
279,BVH,2019,4,128253864327828.0,739267529383.0,19068983184025.0,108320428345174.0,83958162974605.0
280,BVH,2020,1,133432083303416.0,610599395508.0,19294909222168.0,113326362810142.0,87228833475601.0
281,BVH,2020,2,137875448487374.0,575005410912.0,19743360346908.0,117250527325073.0,91703776674715.0
282,BVH,2020,3,144960943808162.0,705496669364.0,20153395066170.0,123885845187528.0,96802245812079.0
283,BVH,2020,4,147283426773859.0,1210886880834.0,20013878403709.0,126445365511537.0,100742594129069.0
284,BVH,2021,1,146603447246883.0,1392183552899.0,20482444149495.0,125217016989165.0,105244798580002.0
285,BVH,2021,2,149101960549203.0,2174518898584.0,20928698147154.0,127199954713867.0,109896959558624.0
286,BVH,2021,3,165122099838582.0,2491045659795.0,21300271247702.0,142794772654838.0,114362967130824.0
287,BVH,2021,4,169460924431144.0,2774297125571.0,21176526778959.0,147249509518307.0,119359562795088.0
288,BVH,2022,1,183778091195504.0,3102218604954.0,21661129124652.0,161089242676864.0,123411837043740.0
289,BVH,2022,2,193291037695195.0,1699667031872.0,21910851957155.0,170283970037801.0,128048370269884.0
290,BVH,2022,3,190853362101525.0,1252315838267.0,22271579559642.0,167446887379322.0,133088768904252.0
291,BVH,2022,4,201610056505497.0,1072760233279.0,20398067111341.0,180121180142098.0,137279490941205.0
292,BVH,2023,1,220461024759660.0,1772865507686.0,20909182121828.0,198476541743494.0,140755140575994.0
293,MIG,2015,4,2255325423256.0,219091470239.0,550077831348.0,1697483973504.0,913455310273.0
294,MIG,2016,4,2949899089983.0,241002843898.0,846797452713.0,2095923924491.0,1166306460235.0
295,MIG,2017,1,3013645150465.0,236397809081.0,854755236412.0,2149100830098.0,1211816321265.0
