,Symbol,Year,Quarter,Sales,IncomeFVTPL,IncomeHTM,IncomeLoansReceivables,IncomeAFS,IncomeDerivatives,RevenueBrokerageServices,RevenueUnderwritingIssuuanceServices,RevenueAdvisoryServices,RevenueAuctionTrustServices,RevenueCustodyServices,OtherRevenues,FVTPL,Revenues,InterestExpenses,NetIncome,NetIncome2
81,APG,2020,2,5285229467.0,1000.0,4131374643.0,337107804.0,0.0,0.0,678083397.0,0.0,70000000.0,0.0,68662623.0,0.0,-24339920.0,816746020.0,16078084.0,1888830483.0,1888830483.0
82,APG,2020,3,7471070567.0,0.0,4109000000.0,74117272.0,0.0,0.0,463409440.0,0.0,2800000000.0,0.0,24543855.0,0.0,0.0,3287953295.0,0.0,5682740168.0,5682740168.0
83,APG,2020,4,19986236283.0,39854269.0,4230430951.0,5046907869.0,0.0,0.0,1241238036.0,0.0,9399500000.0,0.0,28305158.0,0.0,37883619.0,10669043194.0,-16078084.0,15818489139.0,15818489139.0
84,APG,2021,1,13219775847.0,0.0,6457000000.0,4308012421.0,0.0,0.0,2424958137.0,0.0,0.0,0.0,29805289.0,0.0,0.0,2454763426.0,0.0,8803480367.0,8803480367.0
85,APG,2021,2,33875116107.0,16935613697.0,2957981000.0,4788998146.0,0.0,,4508851145.0,0.0,4580000000.0,,103672119.0,,16618246800.0,9192523264.0,905362602.0,23037229667.0,23037229667.0
86,APG,2021,3,58281533158.0,1422799770.0,1224366000.0,3637484189.0,0.0,0.0,21596287969.0,0.0,30000000000.0,0.0,400595230.0,0.0,1422799770.0,51996883199.0,0.0,44865443230.0,44865443230.0
87,APG,2021,4,277039893524.0,125951681674.0,4431357470.0,3833980789.0,,,142296981861.0,,,,525891730.0,,67377258130.0,142822873591.0,,190300734656.0,190300734656.0
88,APG,2022,1,116851285963.0,49208497805.0,29787531500.0,11669637785.0,,,14753480480.0,3120000000.0,4615454545.0,,149365450.0,3547318398.0,,22638300475.0,2544453967.0,78009997962.0,78009997962.0
89,APG,2022,2,28289016467.0,-24173603156.0,37172531751.0,6505830326.0,0.0,,5769236409.0,50000000.0,6211487858.0,,203825810.0,-3450292531.0,-147176795185.0,12234550077.0,1427720897.0,-77355133182.0,-77355133182.0
90,APG,2022,3,36086378472.0,,24740098700.0,3778281780.0,1012000000.0,,2278727305.0,150000000.0,3943039091.0,,134231596.0,50000000.0,,6505997992.0,,-49003302474.0,-49003302474.0
91,APG,2022,4,3261128639.0,78675731256.0,-75794698578.0,-1322393399.0,-1012000000.0,,920116158.0,,-2933760586.0,,648671797.0,4079461991.0,-98033996800.0,-1364972631.0,9281756536.0,-159614833263.0,-159614833263.0
92,APG,2023,1,50179225332.0,42087089259.0,3334520917.0,3554056397.0,,,881600586.0,,100000000.0,,221958173.0,,37021491650.0,1203558759.0,1878982286.0,42494343509.0,42494343509.0
93,APS,2015,2,16104760732.0,0.0,0.0,0.0,0.0,0.0,2905489939.0,0.0,4307727273.0,0.0,216174799.0,8675368721.0,0.0,7429392011.0,0.0,2609844104.0,2609844104.0
94,APS,2015,3,8377520986.0,0.0,0.0,0.0,0.0,0.0,3001396695.0,0.0,232935893.0,0.0,217121039.0,4926067359.0,0.0,3451453627.0,0.0,163203228.0,163203228.0
95,APS,2015,4,11101396022.0,0.0,0.0,0.0,0.0,0.0,2996098288.0,0.0,560806371.0,0.0,234804022.0,7309687341.0,0.0,3791708681.0,0.0,2534471651.0,2534471651.0
96,APS,2016,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-3582016443.0,-3582016443.0
