,Symbol,Year,Quarter,Assets,Debt,Equity,Loans
258,CTS,2017,2,1320816962952.0,145000000000.0,1129848499205.0,564749465727.0
259,CTS,2018,2,2299176529789.0,845812020000.0,1227711772470.0,725481652560.0
260,CTS,2019,2,2483628765302.0,582480500000.0,1366352500019.0,550933141421.0
261,CTS,2020,2,2660789543881.0,1277507020026.0,1319286361202.0,621582654129.0
262,CTS,2021,2,5145501847566.0,2849867903814.0,1592007542004.0,1534137221980.0
263,CTS,2022,2,6236223639094.0,3499097479472.0,1848028543650.0,1718459136899.0
264,CTS,2016,3,1943091550315.0,467521080000.0,1036720844568.0,439615540202.0
265,CTS,2017,3,1713420864363.0,308714000000.0,1135635682120.0,575510147037.0
266,CTS,2018,3,2364806306041.0,785403500000.0,1313055462296.0,774797760069.0
267,CTS,2019,3,2645012537466.0,846911300000.0,1265943660826.0,644575757686.0
268,CTS,2020,3,3007117697824.0,1618048033828.0,1335877479181.0,784436847211.0
269,CTS,2021,3,5517815762128.0,3306154927121.0,1622019030656.0,1329662437267.0
270,CTS,2022,3,5673231495356.0,3396602952423.0,1859631117034.0,1819919986725.0
271,CTS,2014,4,1139278195672.0,0.0,925995726262.0,
272,CTS,2015,4,1325466999998.0,0.0,995074020693.0,
273,CTS,2016,4,1420648445047.0,235000000000.0,1069742601808.0,415545480797.0
274,CTS,2017,4,1838253177523.0,509536400000.0,1170873434829.0,658980679063.0
275,CTS,2018,4,2576522363064.0,820006600000.0,1314867022682.0,714946499793.0
276,CTS,2019,4,2799852909842.0,890000000000.0,1313042385016.0,657700873897.0
277,CTS,2020,4,4273706411610.0,2166722913838.0,1437439798689.0,922989735587.0
278,CTS,2021,4,6685686401841.0,4100407343338.0,1811808740764.0,1594936417382.0
279,CTS,2022,4,5036970412985.0,3075099329013.0,1854319844096.0,1510162481723.0
280,AGR,2014,0,2709875322201.0,181366661000.0,2242841905087.0,
281,AGR,2015,0,2242171802587.0,0.0,2054063059998.0,
282,AGR,2016,0,1660379497164.0,0.0,1648335127059.0,693589908589.0
283,AGR,2017,0,1776671310931.0,0.0,1763858331905.0,660367860969.0
284,AGR,2018,0,1917072477344.0,0.0,1870422080013.0,965554826403.0
285,AGR,2019,0,2111308956461.0,0.0,1966894756622.0,837089004361.0
286,AGR,2020,0,2286420537073.0,0.0,2096628990546.0,739011956365.0
287,AGR,2021,0,2739269214518.0,180000000000.0,2456851556547.0,1694773786055.0
288,AGR,2022,0,2805191288242.0,200000000000.0,2497221370513.0,999881916815.0
289,AGR,2016,1,1949054686289.0,0.0,1942221093756.0,272942092053.0
290,AGR,2017,1,1753620658753.0,30000000000.0,1715661900399.0,723237380588.0
291,AGR,2018,1,1781342590784.0,0.0,1770447465651.0,747315406665.0
292,AGR,2019,1,2176393950846.0,189700000000.0,1931350772896.0,1210348824099.0
293,AGR,2020,1,2052948749757.0,0.0,1929111339253.0,918860840805.0
294,AGR,2021,1,2243143420564.0,0.0,2064405543241.0,875013092637.0
295,AGR,2022,1,2838240588842.0,265000000000.0,2508193461280.0,1745632840316.0
296,AGR,2023,1,2831296070082.0,221300000000.0,2540091723603.0,1315373474532.0
297,AGR,2016,2,1643046398979.0,0.0,1629483126669.0,521557703146.0
298,AGR,2017,2,1829330422647.0,55000000000.0,1764758243082.0,810153899615.0
299,AGR,2018,2,1789816823328.0,0.0,1776092862614.0,748116041767.0
300,AGR,2019,2,2122672308648.0,0.0,2046256898322.0,947612010399.0
301,AGR,2020,2,2155910428796.0,31500000000.0,1991924687442.0,649015355609.0
302,AGR,2021,2,2383084598830.0,0.0,2284959680358.0,1065529140783.0
303,AGR,2022,2,2546548056789.0,4000000000.0,2462300284125.0,1417525774573.0
304,AGR,2016,3,1640673436666.0,0.0,1625608422492.0,630143089569.0
305,AGR,2017,3,1793608827401.0,15000000000.0,1762332900567.0,726573989054.0
306,AGR,2018,3,1860046488661.0,0.0,1844366790857.0,804862576696.0
307,AGR,2019,3,2092704216615.0,0.0,1995648749307.0,856290725295.0
308,AGR,2020,3,2216458877397.0,0.0,2039344227021.0,703370792270.0
309,AGR,2021,3,2540400099825.0,99000000000.0,2338331925572.0,1409608035598.0
310,AGR,2022,3,2661929693942.0,69000000000.0,2501464407607.0,1826472581906.0
311,AGR,2014,4,2709875322201.0,181366661000.0,2242841905087.0,
312,AGR,2015,4,2242171802587.0,0.0,2054063059998.0,
313,AGR,2016,4,1660720114317.0,0.0,1638665746959.0,693589908589.0
314,AGR,2017,4,1777356143891.0,0.0,1764543164865.0,660367860969.0
315,AGR,2018,4,1917072477344.0,0.0,1870422080013.0,965554826403.0
316,AGR,2019,4,2102668956461.0,0.0,1966894756622.0,837089004361.0
317,AGR,2020,4,2286420537073.0,0.0,2096628990546.0,739011956365.0
318,AGR,2021,4,2739269214518.0,180000000000.0,2456851556547.0,1694773786055.0
319,AGR,2022,4,2805191288242.0,200000000000.0,2497221370513.0,999881916815.0
320,VIG,2014,0,273330170797.0,20662937426.0,233893400088.0,
321,VIG,2015,0,283519108792.0,19662937426.0,240574590982.0,
322,VIG,2016,0,234427583002.0,10662937426.0,215527968487.0,7199714105.0
323,VIG,2017,0,234046640241.0,5862937426.0,216179820555.0,13312026242.0
324,VIG,2018,0,232175718121.0,5862937426.0,217818856849.0,11440771379.0
325,VIG,2019,0,212106668451.0,5862937426.0,194373295162.0,11580883358.0
326,VIG,2020,0,212516296293.0,5862937426.0,190877792500.0,11343903928.0
327,VIG,2021,0,215294561780.0,7896937426.0,192302225691.0,8151032463.0
328,VIG,2022,0,317243295384.0,0.0,304950245974.0,4490852065.0
329,VIG,2016,1,270130478791.0,11662937426.0,241758840598.0,0.0
330,VIG,2017,1,254330695575.0,9862937426.0,216594131935.0,7332081299.0
331,VIG,2018,1,231024310360.0,5862937426.0,216853277548.0,10871943244.0
332,VIG,2019,1,231278696573.0,5862937426.0,216403459186.0,11774967807.0
333,VIG,2020,1,210026178244.0,5862937426.0,193573331714.0,9539514911.0
334,VIG,2021,1,211252187282.0,5862937426.0,190430347449.0,10502316332.0
335,VIG,2022,1,220176103587.0,10877941119.0,192859413050.0,11779338537.0
336,VIG,2023,1,322755536204.0,0.0,310811278443.0,4459505314.0
337,VIG,2016,2,237305823357.0,11662937426.0,218475185426.0,17936284475.0
338,VIG,2017,2,234133083548.0,8862937426.0,217131722773.0,7725554571.0
339,VIG,2018,2,233243066778.0,7932937426.0,216690329435.0,11612477649.0
340,VIG,2019,2,212400093673.0,5862937426.0,195273626032.0,12283054972.0
341,VIG,2020,2,214242683714.0,5862937426.0,193355694447.0,11528903399.0
342,VIG,2021,2,210566394907.0,5862937426.0,187140499685.0,9257432124.0
343,VIG,2022,2,223737461847.0,13877941119.0,195482814614.0,4634516392.0
